FT_ID,lodgeNumber,lodgeType,year,trailLength,season
3550_FT13,3550,Lake,2017,49,summerStatus
3550_FT15,3550,Lake,2017,29,summerStatus
3550_FT21,3550,Lake,2017,24,summerStatus
3550_FT22,3550,Lake,2017,9,summerStatus
3550_FT23,3550,Lake,2017,21,summerStatus
3550_FT24,3550,Lake,2017,18,summerStatus
3550_FT25,3550,Lake,2017,12,summerStatus
3550_FT26,3550,Lake,2017,23,summerStatus
3550_FT27,3550,Lake,2017,17,summerStatus
3550_FT28,3550,Lake,2017,14,summerStatus
3557_FT01,3557,Pond,2017,12,summerStatus
3557_FT03,3557,Pond,2017,14,summerStatus
3557_FT04,3557,Pond,2017,14,summerStatus
3557_FT05,3557,Pond,2017,17,summerStatus
3557_FT42,3557,Pond,2017,17,summerStatus
3557_FT07,3557,Pond,2017,22,summerStatus
3557_FT08,3557,Pond,2017,18,summerStatus
3557_FT09,3557,Pond,2017,6,summerStatus
3557_FT10,3557,Pond,2017,19,summerStatus
3557_FT11,3557,Pond,2017,9,summerStatus
3557_FT13,3557,Pond,2017,12,summerStatus
3557_FT14,3557,Pond,2017,14,summerStatus
3557_FT43,3557,Pond,2017,10,summerStatus
3557_FT15,3557,Pond,2017,5,summerStatus
3557_FT19,3557,Pond,2017,8,summerStatus
3557_FT20,3557,Pond,2017,11,summerStatus
3557_FT24,3557,Pond,2017,26,summerStatus
3557_FT25,3557,Pond,2017,14,summerStatus
3557_FT26,3557,Pond,2017,8,summerStatus
3557_FT28,3557,Pond,2017,14,summerStatus
3557_FT29,3557,Pond,2017,6,summerStatus
3557_FT33,3557,Pond,2017,17,summerStatus
3557_FT34,3557,Pond,2017,11,summerStatus
